movie_title,title_year,main_genre,duration,content_rating,Rate,imdb_score,budget,Profit,num_critic_for_reviews,num_user_for_reviews,num_voted_users,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes
Wild Hogs,2007,Action,100.0,PG-13,Average,5.9,200000000,-31786416,177.0,255.0,99989,0,12,419,330.0
Chicken Little,2005,Adventure,81.0,G,Average,5.8,150000000,-14618493,161.0,251.0,63912,912,10,925,729.0
Shrek 2,2004,Adventure,93.0,PG,High,7.2,150000000,286471036,205.0,483.0,314630,0,80,692,309.0
A Bug's Life,1998,Adventure,95.0,G,High,7.2,120000000,42792677,117.0,317.0,211226,0,487,18000,1000.0
Scooby-Doo 2: Monsters Unleashed,2004,Adventure,93.0,PG,Average,4.9,80000000,4185387,94.0,149.0,33180,567,67,4000,2000.0
Dick Tracy,1990,Action,105.0,PG,Average,6.1,100000000,3738726,72.0,164.0,47819,2000,631,678,631.0
Speed 2: Cruise Control,1997,Action,121.0,PG-13,Average,3.7,160000000,-111931604,79.0,248.0,60573,894,101,673,368.0
Cars,2006,Adventure,117.0,G,High,7.2,120000000,124052771,256.0,584.0,263853,0,487,1000,843.0
Antz,1998,Adventure,83.0,PG,Average,6.6,105000000,-14353446,131.0,289.0,124641,0,35,13000,11000.0
Treasure Planet,2002,Adventure,95.0,PG,High,7.1,140000000,-101879446,127.0,217.0,71527,0,63,23000,770.0
Star Wars: Episode V - The Empire Strikes Back,1980,Action,127.0,PG,High,8.8,18000000,272158751,223.0,900.0,837759,17000,883,11000,504.0
Flags of Our Fathers,2006,Drama,135.0,R,High,7.1,90000000,-56425668,279.0,415.0,101221,0,16000,23000,638.0
The General's Daughter,1999,Drama,116.0,R,Average,6.3,95000000,7678089,113.0,274.0,42705,885,165,577,501.0
Along Came a Spider,2001,Crime,104.0,R,Average,6.3,60000000,14058698,133.0,317.0,59232,0,93,11000,2000.0
Star Wars: Episode IV - A New Hope,1977,Action,125.0,PG,High,8.7,11000000,449935665,282.0,1470.0,911097,33000,0,11000,1000.0
Iron Man 2,2010,Action,124.0,PG-13,High,7.0,200000000,112057433,453.0,723.0,522371,18000,4000,21000,19000.0
Terminator 3: Rise of the Machines,2003,Action,109.0,R,Average,6.4,200000000,-49649808,280.0,1676.0,305340,0,84,648,284.0
Atlantis: The Lost Empire,2001,Action,95.0,PG,High,6.8,120000000,-35962961,146.0,289.0,72591,0,21,12000,802.0
Double Jeopardy,1999,Crime,105.0,R,Average,6.4,70000000,46735231,129.0,336.0,56646,0,78,984,489.0
Blue Streak,1999,Action,93.0,PG-13,Average,6.3,65000000,3208190,40.0,144.0,60572,0,10,789,744.0
xXx: State of the Union,2005,Action,101.0,PG-13,Average,4.3,87000000,-60917086,77.0,213.0,51349,0,93,287,233.0
Troy,2004,Adventure,196.0,R,High,7.2,175000000,-41771652,220.0,1694.0,381672,0,249,11000,5000.0
Message in a Bottle,1999,Drama,131.0,PG-13,Average,6.1,55000000,-2200996,85.0,223.0,28942,0,43,18000,652.0
That Thing You Do!,1996,Comedy,149.0,PG,High,6.9,26000000,-190187,75.0,212.0,50311,0,15000,15000,9000.0
Bringing Out the Dead,1999,Drama,121.0,R,High,6.8,55000000,-38359790,163.0,382.0,53028,0,17000,12000,368.0
Hidalgo,2004,Action,136.0,PG-13,High,6.7,100000000,-32713269,140.0,345.0,67856,0,394,24000,10000.0
Lara Croft: Tomb Raider,2001,Action,100.0,PG-13,Average,5.7,115000000,16144183,199.0,824.0,157016,0,165,11000,509.0
Tomorrowland,2015,Action,130.0,PG,Average,6.5,190000000,-96582135,443.0,497.0,128306,37000,663,2000,638.0
Thor: The Dark World,2013,Action,112.0,PG-13,High,7.1,170000000,36360018,486.0,532.0,414070,63000,230,26000,20000.0
The Perfect Storm,2000,Action,130.0,PG-13,Average,6.4,140000000,42618434,231.0,779.0,133076,0,249,784,638.0
Kingdom of Heaven,2005,Action,194.0,R,High,7.2,130000000,-82603302,239.0,942.0,217373,0,0,14000,5000.0
The Great Raid,2005,Action,132.0,R,High,6.7,80000000,-69833498,81.0,183.0,18209,0,131,11000,298.0
