Student_ID	Semester	Grades
1	14_Fall	82
2	14_Fall	73
3	14_Fall	88
4	14_Fall	96
5	14_Fall	77
6	14_Fall	51
7	14_Fall	61
8	14_Fall	99
9	14_Fall	90
10	14_Fall	85.5
11	14_Fall	91
12	14_Fall	85
13	14_Fall	83
14	14_Fall	98
15	14_Fall	73
16	14_Fall	84
17	14_Fall	93
18	14_Fall	85
19	14_Fall	72
20	14_Fall	78
21	14_Fall	81.5
22	14_Fall	86
23	14_Fall	87
24	14_Fall	81.5
25	14_Fall	90
26	14_Fall	72
27	14_Fall	72
28	14_Fall	97
29	14_Fall	30
30	14_Fall	32.5
31	14_Fall	91
32	14_Fall	77
33	14_Fall	88
34	14_Fall	92
35	14_Fall	66
36	14_Fall	89
37	14_Fall	73
38	14_Fall	98.5
39	14_Fall	57
40	14_Fall	88
41	14_Fall	77.5
42	14_Fall	72.5
43	14_Fall	80
44	14_Fall	86
45	14_Fall	90
46	14_Fall	74
47	14_Fall	98
48	14_Fall	93
49	15_Fall	21
50	15_Fall	91.95
51	15_Fall	75.26
52	15_Fall	87.05
53	15_Fall	23
54	15_Fall	86
55	15_Fall	72
56	15_Fall	75.78
57	15_Fall	80
58	15_Fall	84.56
59	15_Fall	90.74
60	15_Fall	99.28
61	15_Fall	73.65
62	15_Fall	22
63	15_Fall	87.24
64	15_Fall	80.21
65	15_Fall	74.27
66	15_Fall	71.87
67	15_Fall	67.78
68	15_Fall	83.71
69	15_Fall	71.51
70	15_Fall	91.77
71	15_Fall	84.45
72	15_Fall	86.09
73	15_Fall	85.11
74	15_Fall	99.26
75	15_Fall	75.63
76	15_Fall	98.17
77	15_Fall	85
78	15_Fall	83.72
79	15_Fall	79
80	15_Fall	75.2
81	15_Fall	78.76
82	15_Fall	50.7
83	15_Fall	87
84	15_Fall	82.04
85	15_Fall	78
86	15_Fall	83
87	15_Fall	64.7
88	15_Fall	81
89	15_Fall	84
90	15_Fall	67.84
91	15_Fall	77
92	15_Fall	90.78
93	15_Fall	78.69
94	15_Fall	85
95	15_Fall	51.62
96	15_Fall	87.02
97	15_Fall	98.47
98	15_Fall	84.45
99	15_Fall	76
100	15_Spring	62
101	15_Spring	70
102	15_Spring	63
103	15_Spring	60.5
104	15_Spring	81
105	15_Spring	79.5
106	15_Spring	68
107	15_Spring	92
108	15_Spring	76.3
109	15_Spring	72
110	15_Spring	47.3
111	15_Spring	70
112	15_Spring	82
113	15_Spring	57.8
114	15_Spring	76.5
115	15_Spring	83
116	15_Spring	84
117	15_Spring	85.5
118	15_Spring	60.3
119	15_Spring	81.5
120	15_Spring	70
121	15_Spring	77.5
122	15_Spring	60.3
123	15_Spring	84.5
124	15_Spring	95
125	15_Spring	92
126	15_Spring	67
127	15_Spring	91.5
