customer_id,customer_state,highest_education,employment_status,gender,income,residence_type,marital_status,sales_channel,coverage,policy,vehicle_class,vehicle_size,monthly_premium,months_since_last_claim,total_claim_amount,customer_lifetime_value
AA11235,Nevada,Bachelor,Medical Leave,Female,11167,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Midsize,73,0,1350.4,2568.84
AA16582,Washington,Bachelor,Medical Leave,Male,14072,Suburban,Divorced,Agent,Basic,Personal,Four-Door Car,Midsize,71,13,1511.2,24127.5
AA34092,California,Associate,Employed,Male,33635,Suburban,Married,Web,Extended,Personal,Luxury SUV,Midsize,240,1,2152,28799.95
AA56476,Arizona,High School,Employed,Female,74454,Suburban,Single,Call Center,Basic,Corporate,Four-Door Car,Midsize,71,25,1340.8,5595.39
AA69265,Nevada,Bachelor,Employed,Female,60817,Suburban,Single,Web,Premium,Personal,Four-Door Car,Midsize,103,3,1494.4,3964.73
AA71604,Arizona,Master,Employed,Female,87560,Suburban,Married,Web,Extended,Personal,Two-Door Car,Midsize,98,4,1470.4,11986.59
AA93585,California,Associate,Employed,Male,97024,Urban,Married,Branch,Premium,Personal,SUV,Midsize,177,0,1686.8200000000002,7083.64
AB21519,California,Associate,Employed,Female,93272,Urban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,95,3,1281.1100000000001,3861.49
AB23825,California,Associate,Employed,Male,21509,Suburban,Single,Agent,Extended,Personal,Two-Door Car,Midsize,81,24,1413.49,8888.88
AB26022,Oregon,High School,Retired,Male,26487,Suburban,Single,Call Center,Basic,Corporate,SUV,Midsize,112,0,1602.4299999999998,7998.35
AB45325,Arizona,High School,Employed,Male,74215,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Small,64,27,1345.18,2577.32
AB60627,California,High School,Employed,Male,77517,Rural,Married,Branch,Extended,Corporate,SUV,Midsize,129,19,1098.92,15467.79
AB62982,Oregon,Doctoral,Employed,Female,77521,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Small,73,6,1350.4,5918.07
AB69140,California,Master,Employed,Male,36007,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Small,70,14,1336,25093.57
AB72731,California,Bachelor,Employed,Female,28358,Rural,Married,Call Center,Basic,Personal,Sports Car,Midsize,117,24,1084.02,4639.98
AB73565,California,Bachelor,Employed,Male,96748,Suburban,Married,Branch,Extended,Personal,Two-Door Car,Midsize,96,13,1460.8,7725.54
AC22873,Arizona,High School,Medical Leave,Female,17120,Suburban,Married,Agent,Extended,Special,SUV,Midsize,125,14,1717.29,4853.1
AC24378,Arizona,High School,Employed,Female,48552,Urban,Married,Call Center,Extended,Corporate,Four-Door Car,Midsize,94,5,1262.75,7477.18
AC40767,Washington,Bachelor,Employed,Male,68041,Urban,Single,Branch,Basic,Personal,Two-Door Car,Midsize,64,10,1165.57,2497.81
AC58002,California,Bachelor,Employed,Female,53907,Urban,Married,Branch,Basic,Corporate,Four-Door Car,Midsize,71,1,1189.91,5666.87
AC67315,Nevada,Bachelor,Employed,Female,96950,Suburban,Married,Agent,Basic,Personal,Sports Car,Large,115,20,1633.13,13862.1
AC75391,Arizona,Associate,Employed,Female,35091,Suburban,Divorced,Branch,Basic,Corporate,Two-Door Car,Midsize,74,27,1418.93,5768.09
AC79024,Nevada,Bachelor,Employed,Male,23241,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Small,70,11,1504,5533.23
AD12500,California,High School,Employed,Female,42696,Suburban,Single,Call Center,Extended,Personal,Luxury Car,Small,228,17,2273.74,17822.56
AD38685,California,Associate,Employed,Male,62464,Urban,Married,Agent,Basic,Personal,Sports Car,Midsize,109,23,1400.18,8658.86
AD56037,Arizona,High School,Employed,Male,87050,Suburban,Married,Agent,Extended,Personal,SUV,Midsize,129,1,1619.2,5160.25
AD89594,California,Associate,Employed,Male,28651,Urban,Single,Agent,Basic,Personal,Four-Door Car,Midsize,67,4,1302.27,12817.41
AD95939,California,Bachelor,Employed,Male,28773,Suburban,Single,Web,Extended,Personal,Luxury Car,Midsize,229,14,2099.2,26511.6
AE23906,Arizona,Associate,Employed,Male,37256,Rural,Married,Branch,Basic,Personal,Four-Door Car,Midsize,62,15,1128.97,9816.53
AE60813,Oregon,Associate,Employed,Female,75090,Rural,Married,Branch,Basic,Personal,Four-Door Car,Midsize,63,10,1101.34,4993.03
AE62631,Oregon,Bachelor,Employed,Male,20662,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,72,10,1373.32,8427.72
AE74442,California,Bachelor,Employed,Female,61584,Urban,Married,Agent,Basic,Corporate,Four-Door Car,Midsize,61,18,1205.29,7379.46
AE89300,Arizona,Bachelor,Employed,Female,82634,Urban,Single,Agent,Basic,Personal,SUV,Midsize,104,8,1324.1,8224.77
AE90216,California,Bachelor,Employed,Male,75644,Suburban,Divorced,Branch,Basic,Personal,Two-Door Car,Midsize,65,5,1467.8,4974.8
AF10970,Arizona,Bachelor,Employed,Female,96163,Suburban,Married,Call Center,Basic,Corporate,Four-Door Car,Midsize,73,23,1350.4,5973.14
AF17671,Washington,Bachelor,Employed,Female,56337,Suburban,Married,Web,Extended,Personal,Four-Door Car,Midsize,97,26,1465.6,7765.23
AF20716,Oregon,Bachelor,Employed,Male,74241,Rural,Married,Agent,Basic,Personal,Two-Door Car,Midsize,61,21,1138.59,2429.37
AF36894,California,Bachelor,Employed,Male,33640,Suburban,Married,Agent,Basic,Corporate,SUV,Midsize,113,20,1542.4,4392.98
AF37776,California,Bachelor,Employed,Female,80192,Rural,Married,Call Center,Extended,Personal,SUV,Large,129,8,1200.66,10419.17
AF41118,California,Associate,Medical Leave,Male,10710,Suburban,Married,Branch,Extended,Personal,Two-Door Car,Small,94,12,1451.2,7255.71
AF48816,Arizona,Bachelor,Employed,Female,87382,Suburban,Married,Web,Basic,Personal,Four-Door Car,Large,72,26,1345.6,5792.67
AF49625,Oregon,Bachelor,Employed,Female,75838,Urban,Single,Agent,Extended,Corporate,Two-Door Car,Small,90,6,1428.91,7189.11
AF69537,Arizona,Associate,Employed,Male,59630,Suburban,Married,Agent,Premium,Personal,SUV,Midsize,185,9,1888,7329.78
