maker,model,mileage,manufacture_year,engine_displacement,engine_power,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,views,ratings,price_eur
audi,a4,228000,2008,1968,100,man,5,5,diesel,2015-11-14 18:55:22.877382+00,2016-01-27 20:40:15.46361+00,73,2,8845.3
hyundai,i20,1500,2015,1120,55,man,5,5,diesel,2015-11-14 18:55:24.095925+00,2016-01-27 20:40:15.46361+00,193,6,8511.84
skoda,octavia,111640,2011,1598,77,man,5,5,diesel,2015-11-14 18:55:27.149267+00,2016-01-27 20:40:15.46361+00,80,7,10695.78
skoda,octavia,107770,2010,2000,125,auto,5,5,diesel,2015-11-14 18:55:40.636249+00,2016-01-27 20:40:15.46361+00,260,7,12953.37
opel,vectra,230000,1999,1995,74,man,5,5,diesel,2015-11-14 18:55:47.440661+00,2016-01-27 20:40:15.46361+00,83,9,370.1
chrysler,voyager,217000,2003,2499,105,man,5,7,diesel,2015-11-14 18:56:14.32097+00,2016-01-27 20:40:15.46361+00,79,9,2738.71
ford,mondeo,328300,2009,1753,92,man,5,5,diesel,2015-11-14 18:56:15.668304+00,2016-01-27 20:40:15.46361+00,96,7,4256.11
ford,mondeo,268553,2001,1998,85,man,5,5,diesel,2015-11-14 18:56:26.370531+00,2016-01-27 20:40:15.46361+00,99,5,2031.83
opel,astra,207091,1998,1598,74,man,5,5,gasoline,2015-11-14 18:56:34.80914+00,2016-01-27 20:40:15.46361+00,160,5,1036.27
opel,zafira,130800,2001,1598,74,man,5,7,gasoline,2015-11-14 18:56:43.544569+00,2016-01-27 20:40:15.46361+00,208,4,1813.47
skoda,octavia,187333,2007,2000,125,man,5,5,diesel,2015-11-14 18:56:46.457435+00,2016-01-27 20:40:15.46361+00,195,5,7772.02
skoda,roomster,104046,2013,1200,63,man,5,5,gasoline,2015-11-14 18:56:46.659186+00,2016-01-27 20:40:15.46361+00,233,7,7809.03
ford,mondeo,130360,2004,1999,107,man,5,5,gasoline,2015-11-14 18:56:58.698291+00,2016-01-27 20:40:15.46361+00,248,1,3700.59
opel,astra,198741,2008,1686,92,man,5,5,diesel,2015-11-14 18:57:13.670368+00,2016-01-27 20:40:15.46361+00,287,8,4437.45
audi,a7,39608,2012,2967,230,auto,5,5,diesel,2015-11-14 18:57:16.90445+00,2016-01-27 20:40:15.46361+00,200,1,48075.5
skoda,octavia,141523,2003,1896,81,man,5,5,diesel,2015-11-14 18:57:21.727123+00,2016-01-27 20:40:15.46361+00,267,7,4034.05
mercedes-benz,vito,284635,2005,2148,80,man,4,9,diesel,2015-11-14 18:57:24.907057+00,2016-01-27 20:40:15.46361+00,212,6,6254.63
skoda,fabia,66500,2010,1197,63,man,5,5,gasoline,2015-11-14 18:57:30.40593+00,2016-01-27 20:40:15.46361+00,268,4,6284.23
ford,focus,247151,2002,1800,55,man,5,5,diesel,2015-11-14 18:57:32.659564+00,2016-01-27 20:40:15.46361+00,239,7,1369.36
skoda,octavia,14513,2015,1968,135,auto,5,5,diesel,2015-11-14 18:57:36.942713+00,2016-01-27 20:40:15.46361+00,142,8,31051.07
skoda,roomster,120897,2010,1598,66,man,5,2,diesel,2015-11-14 18:57:37.557637+00,2016-01-27 20:40:15.46361+00,94,1,6269.43
skoda,fabia,126880,2005,1390,59,man,5,5,gasoline,2015-11-14 18:57:41.249667+00,2016-01-27 20:40:15.46361+00,111,8,3327.17
skoda,octavia,117500,2006,1600,74,man,5,5,gasoline,2015-11-14 18:57:51.442354+00,2016-01-27 20:40:15.46361+00,81,2,2775.72
skoda,roomster,103000,2008,1390,63,man,5,5,gasoline,2015-11-14 18:57:56.094428+00,2016-01-27 20:40:15.46361+00,137,1,5736.49
skoda,roomster,25815,2012,1390,63,man,5,5,gasoline,2015-11-14 18:58:00.823642+00,2016-01-27 20:40:15.46361+00,82,8,8845.3
skoda,octavia,12591,2014,1958,110,auto,5,5,diesel,2015-11-14 18:58:05.804488+00,2016-01-27 20:40:15.46361+00,166,6,22746.11
toyota,auris,44586,2010,1300,74,man,5,5,gasoline,2015-11-14 18:58:14.523815+00,2016-01-27 20:40:15.46361+00,297,7,7698
seat,leon,198000,2003,1781,92,man,5,5,gasoline,2015-11-14 18:58:20.512585+00,2016-01-27 20:40:15.46361+00,294,7,3882.31
toyota,land-cruiser,290361,1997,2982,92,man,5,8,diesel,2015-11-14 18:58:20.562354+00,2016-01-27 20:40:15.46361+00,165,10,3663.95
skoda,octavia,203200,2000,1600,74,man,5,5,gasoline,2015-11-14 18:58:23.951062+00,2016-01-27 20:40:15.46361+00,299,9,1887.49
hyundai,i30,26500,2014,1396,73,man,5,5,gasoline,2015-11-14 18:58:42.95917+00,2016-01-27 20:40:15.46361+00,167,9,11806.07
chrysler,grand-voyager,180104,1998,2499,85,man,5,7,diesel,2015-11-14 18:58:46.491038+00,2016-01-27 20:40:15.46361+00,250,3,1554.4
audi,a4,230300,2006,1968,103,man,5,5,diesel,2015-11-14 18:58:49.188451+00,2016-01-27 20:40:15.46361+00,211,0,6658.03
skoda,octavia,58776,2009,1600,75,man,5,5,gasoline,2015-11-14 18:58:53.147108+00,2016-01-27 20:40:15.46361+00,285,5,7512.95
ford,s-max,177896,2006,1999,107,man,5,5,gasoline,2015-11-14 18:59:11.092353+00,2016-01-27 20:40:15.46361+00,230,3,6106.55
lexus,is-220d,91000,2008,2231,130,man,5,5,diesel,2015-11-14 18:59:11.780408+00,2016-01-27 20:40:15.46361+00,237,8,14026.65
skoda,rapid,3650,2015,1390,90,auto,5,5,gasoline,2015-11-14 18:59:11.982349+00,2016-01-27 20:40:15.46361+00,83,3,17135.46
skoda,roomster,31052,2008,1598,77,man,5,5,gasoline,2015-11-14 18:59:19.294626+00,2016-01-27 20:40:15.46361+00,127,9,6587.71
skoda,octavia,89627,2009,1600,75,man,5,5,gasoline,2015-11-14 18:59:26.112245+00,2016-01-27 20:40:15.46361+00,144,0,5921.54
citroen,c5,351958,2004,1997,100,man,5,5,diesel,2015-11-14 18:59:28.386194+00,2016-01-27 20:40:15.46361+00,132,4,2183.57
