period,count
2014Jun,55
2014May,29
2014Apr,81
2014Mar,45
2014Feb,134
2014Jan,170
2013Dec,27
2013Nov,43
2013Oct,118
2013Sep,313
2013Aug,154
2013Jul,58
2013Jun,103
2013May,192
2013Apr,151
2013Mar,160
2013Feb,257
2013Jan,257
2012Dec,120
2012Nov,253
2012Oct,204
2012Sep,516
2012Aug,464
2012Jul,252
2012Jun,184
2012May,166
2012Apr,251
2012Mar,791
2012Feb,519
2012Jan,216
2011Dec,198
2011Nov,240
2011Oct,175
2011Sep,259
2011Aug,447
2011Jul,452
2011Jun,501
2011May,432
2011Apr,802
2011Mar,762
2011Feb,489
2011Jan,453
2010Dec,276
2010Nov,423
2010Oct,513
2010Sep,439
2010Aug,377
2010Jul,245
2010Jun,661
2010May,399
2010Apr,1325
2010Mar,866
2010Feb,908
2010Jan,1459
2009Dec,518
2009Nov,681
2009Oct,1144
2009Sep,1220
2009Aug,1477
2009Jul,954
2009Jun,857
2009May,657
2009Apr,288
2009Mar,734
2009Feb,818
2009Jan,694
2008Dec,263
2008Nov,592
2008Oct,301
2008Sep,515
2008Aug,965
2008Jul,455
2008Jun,462
2008May,767
2008Apr,802
2008Mar,370
2008Feb,441
2008Jan,307
2007Dec,324
2007Nov,491
2007Oct,398
2007Sep,576
2007Aug,1258
2007Jul,1313
2007Jun,1099
2007May,1307
2007Apr,1773
